"Group Summary: Performance Levels: STAAR 3-8, Grade 3"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Did Not Meet - %","STAAR - Reading - Approaches - %","STAAR - Reading - Meets - %","STAAR - Reading - Masters - %","Org Id"
"A W BROWN LEADERSHIP ACADEMY","Spring 2017","3","221","1326","56","44","16","6","057816"
"A W BROWN LEADERSHIP ACADEMY","Spring 2018","3","193","1387","37","63","25","13","057816"
"A W BROWN LEADERSHIP ACADEMY","Spring 2019","3","145","1381","43","57","26","16","057816"
"A W BROWN LEADERSHIP ACADEMY","Spring 2021","3","27","1380","33","67","33","11","057816"
"A W BROWN LEADERSHIP ACADEMY","Spring 2022","3","88","1370","47","53","28","9","057816"
"A+ ACADEMY","Spring 2017","3","74","1328","55","45","16","5","057829"
"A+ ACADEMY","Spring 2018","3","98","1348","48","52","22","3","057829"
"A+ ACADEMY","Spring 2019","3","96","1348","54","46","19","7","057829"
"A+ ACADEMY","Spring 2021","3","93","1312","63","37","10","0","057829"
"A+ ACADEMY","Spring 2022","3","92","1338","54","46","26","13","057829"
"ABBOTT ISD","Spring 2017","3","12","1510","0","100","67","42","109901"
"ABBOTT ISD","Spring 2018","3","20","1503","5","95","60","30","109901"
"ABBOTT ISD","Spring 2019","3","20","1553","0","100","80","35","109901"
"ABBOTT ISD","Spring 2021","3","17","1422","29","71","47","18","109901"
"ABBOTT ISD","Spring 2022","3","19","1517","11","89","74","47","109901"
"ABERNATHY ISD","Spring 2017","3","47","1436","30","70","40","26","095901"
"ABERNATHY ISD","Spring 2018","3","48","1478","12","88","50","25","095901"
"ABERNATHY ISD","Spring 2019","3","60","1450","32","68","47","25","095901"
"ABERNATHY ISD","Spring 2021","3","49","1487","12","88","61","37","095901"
"ABERNATHY ISD","Spring 2022","3","58","1457","21","79","48","29","095901"
"ABILENE ISD","Spring 2017","3","1296","1427","31","69","41","27","221901"
"ABILENE ISD","Spring 2018","3","1181","1432","25","75","37","22","221901"
"ABILENE ISD","Spring 2019","3","1188","1421","31","69","35","20","221901"
"ABILENE ISD","Spring 2021","3","1079","1394","39","61","33","15","221901"
"ABILENE ISD","Spring 2022","3","1066","1422","31","69","40","21","221901"
"ACADEMY ISD","Spring 2017","3","127","1430","28","72","43","24","014901"
"ACADEMY ISD","Spring 2018","3","144","1459","15","85","42","29","014901"
"ACADEMY ISD","Spring 2019","3","115","1455","18","82","43","25","014901"
"ACADEMY ISD","Spring 2021","3","130","1420","32","68","35","15","014901"
"ACADEMY ISD","Spring 2022","3","132","1485","17","83","58","36","014901"
"ACADEMY OF ACCELERATED LEARNING INC","Spring 2017","3","106","1400","41","59","38","23","101810"
"ACADEMY OF ACCELERATED LEARNING INC","Spring 2018","3","101","1368","44","56","20","8","101810"
"ACADEMY OF ACCELERATED LEARNING INC","Spring 2019","3","90","1424","34","66","36","23","101810"
"ACADEMY OF ACCELERATED LEARNING INC","Spring 2021","3","93","1352","53","47","25","8","101810"
"ACADEMY OF ACCELERATED LEARNING INC","Spring 2022","3","95","1385","40","60","34","17","101810"
"ACADEMY OF DALLAS (057810)","Spring 2017","3","32","1299","66","34","9","3","057810"
"ACADEMY OF DALLAS (057810)","Spring 2018","3","24","1360","33","67","12","0","057810"
"ACADEMY OF DALLAS (057810)","Spring 2019","3","23","1552","4","96","87","52","057810"
"ACADEMY OF DALLAS (057810)","Spring 2021","3","21","1287","67","33","5","0","057810"
"ACADEMY OF DALLAS (057810)","Spring 2022","3","12","1328","67","33","17","0","057810"
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2017","3","26","1397","19","81","27","19","101849"
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2018","3","40","1468","20","80","42","30","101849"
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2019","3","37","1462","30","70","41","30","101849"
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2021","3","31","1352","61","39","32","13","101849"
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2022","3","19","1449","11","89","47","16","101849"
"ADRIAN ISD","Spring 2017","3","7","1335","57","43","0","0","180903"
"ADRIAN ISD","Spring 2018","3","7","1459","14","86","71","14","180903"
"ADRIAN ISD","Spring 2019","3","6","1470","17","83","50","33","180903"
"ADRIAN ISD","Spring 2021","3","4","-","-","-","-","-","180903"
"ADRIAN ISD","Spring 2022","3","9","1460","11","89","44","33","180903"
"ADVANTAGE ACADEMY (057806)","Spring 2017","3","149","1353","51","49","27","14","057806"
"ADVANTAGE ACADEMY (057806)","Spring 2018","3","147","1353","48","52","18","7","057806"
"ADVANTAGE ACADEMY (057806)","Spring 2019","3","136","1366","50","50","22","9","057806"
"ADVANTAGE ACADEMY (057806)","Spring 2021","3","70","1343","54","46","20","10","057806"
"ADVANTAGE ACADEMY (057806)","Spring 2022","3","93","1341","54","46","25","10","057806"
"AGUA DULCE ISD","Spring 2017","3","30","1501","13","87","70","43","178901"
"AGUA DULCE ISD","Spring 2018","3","21","1567","5","95","81","57","178901"
"AGUA DULCE ISD","Spring 2019","3","24","1443","12","88","38","21","178901"
"AGUA DULCE ISD","Spring 2021","3","17","1374","29","71","29","0","178901"
"AGUA DULCE ISD","Spring 2022","3","22","1520","5","95","77","41","178901"
"ALAMO HEIGHTS ISD","Spring 2017","3","318","1486","18","82","58","41","015901"
"ALAMO HEIGHTS ISD","Spring 2018","3","320","1486","13","87","57","31","015901"
"ALAMO HEIGHTS ISD","Spring 2019","3","337","1500","12","88","62","38","015901"
"ALAMO HEIGHTS ISD","Spring 2021","3","315","1486","18","82","58","34","015901"
"ALAMO HEIGHTS ISD","Spring 2022","3","315","1560","7","93","78","57","015901"
"ALBA-GOLDEN ISD","Spring 2017","3","62","1439","27","73","45","27","250906"
"ALBA-GOLDEN ISD","Spring 2018","3","69","1434","23","77","42","22","250906"
"ALBA-GOLDEN ISD","Spring 2019","3","64","1446","12","88","36","23","250906"
"ALBA-GOLDEN ISD","Spring 2021","3","61","1431","23","77","36","18","250906"
"ALBA-GOLDEN ISD","Spring 2022","3","70","1478","13","87","49","31","250906"
"ALBANY ISD","Spring 2017","3","31","1454","13","87","48","16","209901"
"ALBANY ISD","Spring 2018","3","42","1426","19","81","38","19","209901"
"ALBANY ISD","Spring 2019","3","32","1466","9","91","38","28","209901"
"ALBANY ISD","Spring 2021","3","34","1431","29","71","50","21","209901"
"ALBANY ISD","Spring 2022","3","41","1443","27","73","46","32","209901"
"ALDINE ISD","Spring 2017","3","4644","1395","36","64","32","18","101902"
"ALDINE ISD","Spring 2018","3","4593","1397","31","69","26","12","101902"
"ALDINE ISD","Spring 2019","3","4056","1401","34","66","29","16","101902"
"ALDINE ISD","Spring 2021","3","3616","1321","59","41","13","3","101902"
"ALDINE ISD","Spring 2022","3","3727","1382","40","60","30","13","101902"
"ALEDO ISD","Spring 2017","3","449","1527","9","91","70","50","184907"
"ALEDO ISD","Spring 2018","3","407","1525","9","91","66","46","184907"
"ALEDO ISD","Spring 2019","3","445","1520","8","92","64","46","184907"
"ALEDO ISD","Spring 2021","3","502","1503","9","91","62","37","184907"
"ALEDO ISD","Spring 2022","3","554","1573","6","94","80","61","184907"
"ALICE ISD","Spring 2017","3","378","1407","35","65","36","21","125901"
"ALICE ISD","Spring 2018","3","396","1412","32","68","33","18","125901"
"ALICE ISD","Spring 2019","3","337","1411","34","66","32","19","125901"
"ALICE ISD","Spring 2021","3","287","1317","61","39","14","4","125901"
"ALICE ISD","Spring 2022","3","327","1404","36","64","36","18","125901"
"ALIEF ISD (101903)","Spring 2017","3","3446","1386","41","59","31","19","101903"
"ALIEF ISD (101903)","Spring 2018","3","3512","1390","37","63","27","14","101903"
"ALIEF ISD (101903)","Spring 2019","3","3157","1395","38","62","29","16","101903"
"ALIEF ISD (101903)","Spring 2021","3","2382","1351","50","50","21","9","101903"
"ALIEF ISD (101903)","Spring 2022","3","2550","1413","35","65","41","22","101903"
"ALIEF MONTESSORI COMMUNITY SCHOOL (101815)","Spring 2017","3","25","1498","8","92","56","44","101815"
"ALIEF MONTESSORI COMMUNITY SCHOOL (101815)","Spring 2018","3","19","1483","5","95","53","32","101815"
"ALIEF MONTESSORI COMMUNITY SCHOOL (101815)","Spring 2019","3","28","1520","0","100","71","32","101815"
"ALIEF MONTESSORI COMMUNITY SCHOOL (101815)","Spring 2021","3","22","1426","27","73","32","18","101815"
"ALIEF MONTESSORI COMMUNITY SCHOOL (101815)","Spring 2022","3","25","1530","16","84","76","40","101815"