ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type,Approaches,Meets,Masters
LA GLORIA ISD,Spring 2022,3,22,78,67,33,125906,STAAR - Reading,11,34,33
LA GRANGE ISD,Spring 2022,3,24,76,49,24,75902,STAAR - Reading,27,25,24
LA JOYA ISD,Spring 2022,3,23,77,49,24,108912,STAAR - Reading,28,25,24
LA PORTE ISD,Spring 2022,3,14,86,58,33,101916,STAAR - Reading,28,25,33
LA PRYOR ISD,Spring 2022,3,29,71,47,20,254902,STAAR - Reading,24,27,20
LA VEGA ISD,Spring 2022,3,17,83,49,22,161906,STAAR - Reading,34,27,22
LA VERNIA ISD,Spring 2022,3,19,81,53,32,247903,STAAR - Reading,28,21,32
LA VILLA ISD,Spring 2022,3,39,61,13,6,108914,STAAR - Reading,48,7,6
LACKLAND ISD,Spring 2022,3,16,84,56,34,15913,STAAR - Reading,28,22,34
IRVING ISD,Spring 2022,3,37,63,33,17,57912,STAAR - Reading,30,16,17
ITALY ISD,Spring 2022,3,39,61,33,17,70907,STAAR - Reading,28,16,17
ITASCA ISD,Spring 2022,3,30,70,38,17,109907,STAAR - Reading,32,21,17
JACKSBORO ISD,Spring 2022,3,33,67,43,20,119902,STAAR - Reading,24,23,20
JACKSONVILLE ISD,Spring 2022,3,30,70,42,22,37904,STAAR - Reading,28,20,22
JARRELL ISD,Spring 2022,3,36,64,34,18,246907,STAAR - Reading,30,16,18
JASPER ISD,Spring 2022,3,54,46,15,8,121904,STAAR - Reading,31,7,8
JAYTON-GIRARD ISD,Spring 2022,3,0,100,80,33,132902,STAAR - Reading,20,47,33
JEAN MASSIEU ACADEMY (057819),Spring 2022,3,27,73,27,20,57819,STAAR - Reading,46,7,20
JEFFERSON ISD,Spring 2022,3,18,82,57,35,155901,STAAR - Reading,25,22,35
JIM HOGG COUNTY ISD,Spring 2022,3,30,70,45,23,124901,STAAR - Reading,25,22,23
JOAQUIN ISD,Spring 2022,3,9,91,52,18,210902,STAAR - Reading,39,34,18
JOHNSON CITY ISD,Spring 2022,3,15,85,54,24,16901,STAAR - Reading,31,30,24
JONESBORO ISD,Spring 2022,3,17,83,56,22,50909,STAAR - Reading,27,34,22
JOSHUA ISD,Spring 2022,3,18,82,55,35,126905,STAAR - Reading,27,20,35
JOURDANTON ISD,Spring 2022,3,13,87,58,32,7902,STAAR - Reading,29,26,32
JUBILEE ACADEMIES,Spring 2022,3,35,65,39,21,15822,STAAR - Reading,26,18,21
JUDSON ISD,Spring 2022,3,26,74,45,25,15916,STAAR - Reading,29,20,25
JUNCTION ISD,Spring 2022,3,18,82,56,32,134901,STAAR - Reading,26,24,32
KARNACK ISD,Spring 2022,3,14,86,14,0,102901,STAAR - Reading,72,14,0
KARNES CITY ISD,Spring 2022,3,14,86,49,27,128901,STAAR - Reading,37,22,27
KATY ISD,Spring 2022,3,13,87,68,46,101914,STAAR - Reading,19,22,46
KAUFMAN ISD,Spring 2022,3,21,79,50,30,129903,STAAR - Reading,29,20,30
KEENE ISD,Spring 2022,3,17,83,59,37,126906,STAAR - Reading,24,22,37
KELLER ISD,Spring 2022,3,16,84,62,40,220907,STAAR - Reading,22,22,40
KELTON ISD,Spring 2022,3,14,86,71,29,242905,STAAR - Reading,15,42,29
KEMP ISD,Spring 2022,3,29,71,43,20,129904,STAAR - Reading,28,23,20
KENEDY COUNTY WIDE CSD,Spring 2022,3,40,60,30,10,131001,STAAR - Reading,30,20,10
KENEDY ISD,Spring 2022,3,26,74,44,10,128902,STAAR - Reading,30,34,10
KENNARD ISD (113906),Spring 2022,3,13,87,60,20,113906,STAAR - Reading,27,40,20
KENNEDALE ISD,Spring 2022,3,27,73,48,33,220914,STAAR - Reading,25,15,33
KERENS ISD,Spring 2022,3,22,78,34,22,175907,STAAR - Reading,44,12,22
KERMIT ISD,Spring 2022,3,39,61,28,9,248901,STAAR - Reading,33,19,9
KERRVILLE ISD,Spring 2022,3,13,87,64,40,133903,STAAR - Reading,23,24,40
KI CHARTER ACADEMY (105803),Spring 2022,3,,,,,105803,STAAR - Reading,0,0,0
KILGORE ISD,Spring 2022,3,18,82,55,35,92902,STAAR - Reading,27,20,35
KILLEEN ISD,Spring 2022,3,27,73,44,24,14906,STAAR - Reading,29,20,24
KINGSVILLE ISD,Spring 2022,3,34,66,37,22,137901,STAAR - Reading,29,15,22
KIPP TEXAS PUBLIC SCHOOLS,Spring 2022,3,36,64,39,22,227820,STAAR - Reading,25,17,22
KIRBYVILLE CISD,Spring 2022,3,19,81,50,32,121905,STAAR - Reading,31,18,32
NEW BOSTON ISD,Spring 2022,3,38,62,41,18,19905,STAAR - Reading,21,23,18
NEW BRAUNFELS ISD,Spring 2022,3,14,86,64,43,46901,STAAR - Reading,22,21,43
NEW CANEY ISD,Spring 2022,3,32,68,42,23,170908,STAAR - Reading,26,19,23
NEW DEAL ISD,Spring 2022,3,30,70,37,19,152902,STAAR - Reading,33,18,19
NEW DIANA ISD,Spring 2022,3,7,93,70,49,230906,STAAR - Reading,23,21,49
NEW HOME ISD,Spring 2022,3,0,100,88,71,153905,STAAR - Reading,12,17,71
NEW SUMMERFIELD ISD,Spring 2022,3,13,87,62,36,37908,STAAR - Reading,25,26,36
NEW WAVERLY ISD,Spring 2022,3,11,89,69,38,236901,STAAR - Reading,20,31,38
NEWCASTLE ISD,Spring 2022,3,42,58,50,33,252902,STAAR - Reading,8,17,33
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON (220817),Spring 2022,3,26,74,46,26,220817,STAAR - Reading,28,20,26
NEWTON ISD,Spring 2022,3,26,74,40,26,176902,STAAR - Reading,34,14,26
NIXON-SMILEY CISD,Spring 2022,3,21,79,53,35,89903,STAAR - Reading,26,18,35
NOCONA ISD,Spring 2022,3,25,75,55,38,169902,STAAR - Reading,20,17,38
NORDHEIM ISD,Spring 2022,3,10,90,50,0,62902,STAAR - Reading,40,50,0
NORMANGEE ISD,Spring 2022,3,31,69,50,31,145906,STAAR - Reading,19,19,31
NORTH EAST ISD,Spring 2022,3,19,81,58,37,15910,STAAR - Reading,23,21,37
NORTH HOPKINS ISD,Spring 2022,3,9,91,65,44,112906,STAAR - Reading,26,21,44
NORTH LAMAR ISD,Spring 2022,3,26,74,47,27,139911,STAAR - Reading,27,20,27
NORTH TEXAS COLLEGIATE ACADEMY,Spring 2022,3,42,58,30,16,61802,STAAR - Reading,28,14,16
NORTH ZULCH ISD,Spring 2022,3,11,89,61,25,154903,STAAR - Reading,28,36,25
NORTHSIDE ISD (015915),Spring 2022,3,25,75,49,29,15915,STAAR - Reading,26,20,29
NORTHSIDE ISD (244905),Spring 2022,3,9,91,68,41,244905,STAAR - Reading,23,27,41
NORTHWEST ISD,Spring 2022,3,18,82,58,37,61911,STAAR - Reading,24,21,37
NOVA ACADEMY (057809),Spring 2022,3,38,62,25,12,57809,STAAR - Reading,37,13,12
NOVA ACADEMY SOUTHEAST,Spring 2022,3,50,50,33,17,57827,STAAR - Reading,17,16,17
NUECES CANYON CISD,Spring 2022,3,11,89,44,28,69902,STAAR - Reading,45,16,28
NURSERY ISD,Spring 2022,3,6,94,71,59,235904,STAAR - Reading,23,12,59
NYOS CHARTER SCHOOL (227804),Spring 2022,3,15,85,67,48,227804,STAAR - Reading,18,19,48
O'DONNELL ISD,Spring 2022,3,35,65,35,19,153903,STAAR - Reading,30,16,19
OAKWOOD ISD,Spring 2022,3,26,74,47,16,145907,STAAR - Reading,27,31,16
ODEM-EDROY ISD,Spring 2022,3,24,76,45,29,205905,STAAR - Reading,31,16,29
ODYSSEY ACADEMY INC,Spring 2022,3,22,78,50,23,84802,STAAR - Reading,28,27,23
OGLESBY ISD,Spring 2022,3,41,59,29,18,50904,STAAR - Reading,30,11,18
OLFEN ISD,Spring 2022,3,14,86,86,43,200906,STAAR - Reading,0,43,43
OLNEY ISD,Spring 2022,3,26,74,49,30,252903,STAAR - Reading,25,19,30
OLTON ISD,Spring 2022,3,10,90,67,44,140905,STAAR - Reading,23,23,44
ONALASKA ISD,Spring 2022,3,17,83,49,32,187910,STAAR - Reading,34,17,32
ORANGE GROVE ISD,Spring 2022,3,16,84,63,43,125903,STAAR - Reading,21,20,43
ORANGEFIELD ISD,Spring 2022,3,20,80,59,35,181905,STAAR - Reading,21,24,35
ORE CITY ISD,Spring 2022,3,26,74,46,23,230903,STAAR - Reading,28,23,23
ORENDA CHARTER SCHOOL,Spring 2022,3,9,91,72,44,14804,STAAR - Reading,19,28,44
OVERTON ISD,Spring 2022,3,10,90,61,35,201908,STAAR - Reading,29,26,35
PADUCAH ISD,Spring 2022,3,29,71,14,7,51901,STAAR - Reading,57,7,7
PAINT CREEK ISD,Spring 2022,3,14,86,57,14,104907,STAAR - Reading,29,43,14
PAINT ROCK ISD,Spring 2022,3,33,67,42,17,48903,STAAR - Reading,25,25,17
PALACIOS ISD,Spring 2022,3,24,76,49,28,158905,STAAR - Reading,27,21,28
PALESTINE ISD,Spring 2022,3,25,75,50,29,1907,STAAR - Reading,25,21,29
PALMER ISD,Spring 2022,3,18,82,53,33,70910,STAAR - Reading,29,20,33
PALO PINTO ISD,Spring 2022,3,10,90,80,60,182906,STAAR - Reading,10,20,60
PAMPA ISD,Spring 2022,3,30,70,44,22,90904,STAAR - Reading,26,22,22
PANHANDLE ISD,Spring 2022,3,17,82,55,47,33902,STAAR - Reading,27,8,47
PANTHER CREEK CISD,Spring 2022,3,31,69,38,31,42905,STAAR - Reading,31,7,31
PARADISE ISD,Spring 2022,3,10,90,57,35,249906,STAAR - Reading,33,22,35
PARIS ISD,Spring 2022,3,30,70,40,21,139909,STAAR - Reading,30,19,21
PASADENA ISD,Spring 2022,3,24,76,45,24,101917,STAAR - Reading,31,21,24
PATTON SPRINGS ISD,Spring 2022,3,0,100,60,60,63906,STAAR - Reading,40,0,60
PAWNEE ISD,Spring 2022,3,65,35,29,24,13902,STAAR - Reading,6,5,24
PEARLAND ISD,Spring 2022,3,13,87,66,45,20908,STAAR - Reading,21,21,45
PEARSALL ISD,Spring 2022,3,38,62,35,18,82903,STAAR - Reading,27,17,18
PEASTER ISD,Spring 2022,3,25,75,49,30,184908,STAAR - Reading,26,19,30
PECOS-BARSTOW-TOYAH ISD,Spring 2022,3,39,61,31,14,195901,STAAR - Reading,30,17,14
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,Spring 2022,3,45,55,19,6,57802,STAAR - Reading,36,13,6
PENELOPE ISD,Spring 2022,3,21,79,50,21,109914,STAAR - Reading,29,29,21
PERRIN-WHITT CISD,Spring 2022,3,11,89,44,17,119903,STAAR - Reading,45,27,17
PERRYTON ISD,Spring 2022,3,15,85,52,22,179901,STAAR - Reading,33,30,22
PETERSBURG ISD,Spring 2022,3,38,62,15,15,95904,STAAR - Reading,47,0,15
PETROLIA CISD,Spring 2022,3,28,72,36,17,39903,STAAR - Reading,36,19,17
PETTUS ISD,Spring 2022,3,10,90,57,33,13903,STAAR - Reading,33,24,33
PEWITT CISD,Spring 2022,3,7,93,79,35,172905,STAAR - Reading,14,44,35
PFLUGERVILLE ISD,Spring 2022,3,21,79,56,35,227904,STAAR - Reading,23,21,35
PHARR-SAN JUAN-ALAMO ISD,Spring 2022,3,27,73,46,24,108909,STAAR - Reading,27,22,24
PILOT POINT ISD,Spring 2022,3,21,79,54,24,61903,STAAR - Reading,25,30,24
PINE TREE ISD,Spring 2022,3,17,83,58,32,92904,STAAR - Reading,25,26,32
PINEYWOODS COMMUNITY ACADEMY,Spring 2022,3,22,78,53,31,3801,STAAR - Reading,25,22,31
PIONEER TECHNOLOGY & ARTS ACADEMY,Spring 2022,3,16,84,57,31,57850,STAAR - Reading,27,26,31
PITTSBURG ISD,Spring 2022,3,25,75,37,19,32902,STAAR - Reading,38,18,19
PLAINS ISD,Spring 2022,3,32,68,46,21,251902,STAAR - Reading,22,25,21
PLAINVIEW ISD,Spring 2022,3,32,68,34,16,95905,STAAR - Reading,34,18,16
PLANO ISD,Spring 2022,3,13,87,67,46,43910,STAAR - Reading,20,21,46
PLEASANT GROVE ISD,Spring 2022,3,8,92,72,42,19912,STAAR - Reading,20,30,42
PLEASANTON ISD,Spring 2022,3,35,65,43,22,7905,STAAR - Reading,22,21,22
PLEMONS-STINNETT-PHILLIPS CISD,Spring 2022,3,17,83,54,34,117904,STAAR - Reading,29,20,34
POINT ISABEL ISD,Spring 2022,3,24,76,45,28,31909,STAAR - Reading,31,17,28
PONDER ISD,Spring 2022,3,23,77,46,26,61906,STAAR - Reading,31,20,26
POOLVILLE ISD,Spring 2022,3,7,93,72,49,184901,STAAR - Reading,21,23,49
PORT ARANSAS ISD,Spring 2022,3,28,72,54,36,178908,STAAR - Reading,18,18,36
PORT ARTHUR ISD,Spring 2022,3,37,63,31,15,123907,STAAR - Reading,32,16,15
PORT NECHES-GROVES ISD,Spring 2022,3,12,88,58,33,123908,STAAR - Reading,30,25,33
POST ISD,Spring 2022,3,49,51,24,9,85902,STAAR - Reading,27,15,9
POTEET ISD,Spring 2022,3,50,50,25,15,7906,STAAR - Reading,25,10,15
POTH ISD,Spring 2022,3,7,93,67,45,247904,STAAR - Reading,26,22,45
POTTSBORO ISD,Spring 2022,3,12,88,51,24,91913,STAAR - Reading,37,27,24
PRAIRIE LEA ISD,Spring 2022,3,65,35,12,6,28906,STAAR - Reading,23,6,6
PRAIRIE VALLEY ISD,Spring 2022,3,0,100,64,18,169909,STAAR - Reading,36,46,18
PRAIRILAND ISD,Spring 2022,3,16,84,66,39,139912,STAAR - Reading,18,27,39
PREMONT ISD,Spring 2022,3,24,76,37,13,125905,STAAR - Reading,39,24,13
PRESIDIO ISD,Spring 2022,3,48,52,27,15,189902,STAAR - Reading,25,12,15
PRIDDY ISD,Spring 2022,3,40,60,20,20,167904,STAAR - Reading,40,0,20
PRINCETON ISD,Spring 2022,3,23,77,52,31,43911,STAAR - Reading,25,21,31
PRINGLE-MORSE CISD,Spring 2022,3,10,90,70,30,98903,STAAR - Reading,20,40,30
BAKERRIPLEY COMMUNITY SCHOOLS,Spring 2022,3,42,58,31,15,101853,STAAR - Reading,27,16,15
PRIORITY CHARTER SCHOOLS,Spring 2022,3,17,83,53,28,14803,STAAR - Reading,30,25,28
PROGRESO ISD,Spring 2022,3,43,57,36,19,108910,STAAR - Reading,21,17,19
PROMESA ACADEMY CHARTER SCHOOL (015839),Spring 2022,3,36,64,42,33,15839,STAAR - Reading,22,9,33
PROSPER ISD,Spring 2022,3,11,89,67,43,43912,STAAR - Reading,22,24,43
QUANAH ISD,Spring 2022,3,3,97,71,60,99903,STAAR - Reading,26,11,60
QUEEN CITY ISD,Spring 2022,3,22,78,39,19,34907,STAAR - Reading,39,20,19
QUINLAN ISD,Spring 2022,3,44,56,28,15,116908,STAAR - Reading,28,13,15
QUITMAN ISD,Spring 2022,3,9,91,61,26,250904,STAAR - Reading,30,35,26
RAINS ISD,Spring 2022,3,17,83,47,23,190903,STAAR - Reading,36,24,23
RALLS ISD,Spring 2022,3,76,24,19,10,54903,STAAR - Reading,5,9,10
RAMIREZ CSD,Spring 2022,3,40,60,40,20,66005,STAAR - Reading,20,20,20
RANDOLPH FIELD ISD,Spring 2022,3,9,91,64,44,15906,STAAR - Reading,27,20,44
RANGER ISD,Spring 2022,3,19,81,33,19,67907,STAAR - Reading,48,14,19
RANKIN ISD,Spring 2022,3,42,58,38,21,231902,STAAR - Reading,20,17,21
RAPOPORT ACADEMY PUBLIC SCHOOL,Spring 2022,3,55,45,26,9,161802,STAAR - Reading,19,17,9
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,Spring 2022,3,24,76,49,30,101806,STAAR - Reading,27,19,30
RAYMONDVILLE ISD,Spring 2022,3,20,80,51,31,245903,STAAR - Reading,29,20,31
REAGAN COUNTY ISD,Spring 2022,3,23,77,47,22,192901,STAAR - Reading,30,25,22
RED LICK ISD,Spring 2022,3,2,98,89,58,19911,STAAR - Reading,9,31,58
RED OAK ISD,Spring 2022,3,23,77,50,27,70911,STAAR - Reading,27,23,27
REDWATER ISD,Spring 2022,3,16,84,43,18,19906,STAAR - Reading,41,25,18
REFUGIO ISD,Spring 2022,3,23,77,45,20,196903,STAAR - Reading,32,25,20
REVE PREPARATORY CHARTER SCHOOL (101876),Spring 2022,3,21,79,29,4,101876,STAAR - Reading,50,25,4
RICARDO ISD,Spring 2022,3,12,88,60,30,137902,STAAR - Reading,28,30,30
RICE CISD,Spring 2022,3,21,79,47,24,45903,STAAR - Reading,32,23,24
RICE ISD,Spring 2022,3,32,68,35,20,175911,STAAR - Reading,33,15,20
RICHARDS ISD,Spring 2022,3,11,89,78,44,93905,STAAR - Reading,11,34,44
RICHARDSON ISD,Spring 2022,3,26,74,52,34,57916,STAAR - Reading,22,18,34
RICHLAND SPRINGS ISD,Spring 2022,3,0,100,20,20,206902,STAAR - Reading,80,0,20
RIESEL ISD,Spring 2022,3,18,82,48,34,161912,STAAR - Reading,34,14,34
RIO GRANDE CITY GRULLA ISD,Spring 2022,3,32,68,37,20,214901,STAAR - Reading,31,17,20
RIO HONDO ISD,Spring 2022,3,26,74,42,25,31911,STAAR - Reading,32,17,25
RIO VISTA ISD,Spring 2022,3,26,74,40,26,126907,STAAR - Reading,34,14,26
RISE ACADEMY (152802),Spring 2022,3,3,97,77,42,152802,STAAR - Reading,20,35,42
RISING STAR ISD,Spring 2022,3,53,47,27,20,67908,STAAR - Reading,20,7,20
RIVER ROAD ISD,Spring 2022,3,34,66,39,20,188902,STAAR - Reading,27,19,20
RIVERCREST ISD,Spring 2022,3,19,81,47,28,194903,STAAR - Reading,34,19,28
RIVIERA ISD,Spring 2022,3,30,70,48,30,137903,STAAR - Reading,22,18,30
ROBERT LEE ISD,Spring 2022,3,33,67,33,17,41902,STAAR - Reading,34,16,17
ROBINSON ISD,Spring 2022,3,16,84,57,41,161922,STAAR - Reading,27,16,41
ROBSTOWN ISD,Spring 2022,3,37,63,36,18,178909,STAAR - Reading,27,18,18
ROBY CISD (076903),Spring 2022,3,36,64,48,32,76903,STAAR - Reading,16,16,32
ROCHELLE ISD,Spring 2022,3,7,93,71,50,160904,STAAR - Reading,22,21,50
ROCKDALE ISD,Spring 2022,3,18,82,45,16,166904,STAAR - Reading,37,29,16
ROCKSPRINGS ISD,Spring 2022,3,33,67,50,28,69901,STAAR - Reading,17,22,28
ROCKWALL ISD,Spring 2022,3,13,87,66,44,199901,STAAR - Reading,21,22,44
ROGERS ISD,Spring 2022,3,16,84,51,28,14907,STAAR - Reading,33,23,28
ROMA ISD,Spring 2022,3,12,88,68,45,214903,STAAR - Reading,20,23,45
ROOSEVELT ISD,Spring 2022,3,30,70,37,10,152908,STAAR - Reading,33,27,10
ROPES ISD,Spring 2022,3,11,89,69,47,110905,STAAR - Reading,20,22,47
ROSCOE COLLEGIATE ISD,Spring 2022,3,47,53,26,12,177901,STAAR - Reading,27,14,12
ROSEBUD-LOTT ISD,Spring 2022,3,29,71,50,29,73905,STAAR - Reading,21,21,29
ROTAN ISD,Spring 2022,3,10,90,45,25,76904,STAAR - Reading,45,20,25
ROUND ROCK ISD,Spring 2022,3,14,86,68,49,246909,STAAR - Reading,18,19,49
ROUND TOP-CARMINE ISD,Spring 2022,3,6,94,78,39,75908,STAAR - Reading,16,39,39
ROYAL ISD,Spring 2022,3,22,78,53,31,237905,STAAR - Reading,25,22,31
ROYSE CITY ISD,Spring 2022,3,17,83,56,31,199902,STAAR - Reading,27,25,31
RULE ISD,Spring 2022,3,29,71,29,14,104903,STAAR - Reading,42,15,14
RUNGE ISD,Spring 2022,3,64,36,9,9,128903,STAAR - Reading,27,0,9
RUSK ISD,Spring 2022,3,7,93,58,29,37907,STAAR - Reading,35,29,29
S AND S CISD,Spring 2022,3,18,82,54,30,91914,STAAR - Reading,28,24,30
SABINAL ISD,Spring 2022,3,32,68,55,18,232902,STAAR - Reading,13,37,18
SABINE ISD,Spring 2022,3,13,87,53,31,92906,STAAR - Reading,34,22,31
SABINE PASS ISD,Spring 2022,3,21,79,58,21,123913,STAAR - Reading,21,37,21
SAINT JO ISD,Spring 2022,3,21,79,63,26,169911,STAAR - Reading,16,37,26
SALADO ISD,Spring 2022,3,20,80,49,29,14908,STAAR - Reading,31,20,29
SALTILLO ISD,Spring 2022,3,0,100,64,21,112909,STAAR - Reading,36,43,21
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL (236802),Spring 2022,3,7,93,70,42,236802,STAAR - Reading,23,28,42
SAM RAYBURN ISD,Spring 2022,3,9,91,82,41,74917,STAAR - Reading,9,41,41
SAN ANGELO ISD,Spring 2022,3,30,70,43,25,226903,STAAR - Reading,27,18,25
SAN ANTONIO ISD,Spring 2022,3,41,59,33,17,15907,STAAR - Reading,26,16,17
SAN AUGUSTINE ISD,Spring 2022,3,46,54,27,15,203901,STAAR - Reading,27,12,15
SAN BENITO CISD,Spring 2022,3,32,68,41,22,31912,STAAR - Reading,27,19,22
SAN DIEGO ISD,Spring 2022,3,32,68,41,21,66902,STAAR - Reading,27,20,21
SAN ELIZARIO ISD,Spring 2022,3,25,75,40,22,71904,STAAR - Reading,35,18,22
SAN FELIPE-DEL RIO CISD,Spring 2022,3,28,72,40,22,233901,STAAR - Reading,32,18,22
SAN ISIDRO ISD,Spring 2022,3,0,100,40,20,214902,STAAR - Reading,60,20,20
SAN MARCOS CISD,Spring 2022,3,30,70,44,26,105902,STAAR - Reading,26,18,26
SAN PERLITA ISD,Spring 2022,3,24,76,35,18,245904,STAAR - Reading,41,17,18
SAN SABA ISD,Spring 2022,3,9,91,58,30,206901,STAAR - Reading,33,28,30
SAN VICENTE ISD,Spring 2022,3,,,,,22903,STAAR - Reading,0,0,0
SANDS CISD (058909),Spring 2022,3,18,82,35,18,58909,STAAR - Reading,47,17,18
