ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type
CUSHING ISD,Spring 2022,3,24,76,49,24,174902,STAAR - Reading
CYPRESS-FAIRBANKS ISD,Spring 2022,3,20,80,58,35,101907,STAAR - Reading
D'HANIS ISD,Spring 2022,3,0,100,100,77,163902,STAAR - Reading
DAINGERFIELD-LONE STAR ISD,Spring 2022,3,21,79,33,15,172902,STAAR - Reading
DALHART ISD,Spring 2022,3,52,48,24,11,56901,STAAR - Reading
DALLAS ISD (057905),Spring 2022,3,30,70,45,27,57905,STAAR - Reading
DAMON ISD,Spring 2022,3,38,62,38,0,20910,STAAR - Reading
DANBURY ISD,Spring 2022,3,25,75,58,23,20904,STAAR - Reading
DARROUZETT ISD,Spring 2022,3,50,50,0,0,148905,STAAR - Reading
DAWSON ISD (058902),Spring 2022,3,29,71,36,21,58902,STAAR - Reading
DAWSON ISD (175904),Spring 2022,3,14,86,59,21,175904,STAAR - Reading
DAYTON ISD,Spring 2022,3,24,76,42,22,146902,STAAR - Reading
DE LEON ISD,Spring 2022,3,10,90,62,42,47902,STAAR - Reading
DECATUR ISD,Spring 2022,3,22,78,50,25,249905,STAAR - Reading
DEER PARK ISD,Spring 2022,3,18,82,57,35,101908,STAAR - Reading
DEKALB ISD,Spring 2022,3,13,87,53,29,19901,STAAR - Reading
DEL VALLE ISD,Spring 2022,3,33,67,36,16,227910,STAAR - Reading
DELL CITY ISD,Spring 2022,3,40,60,40,20,115903,STAAR - Reading
DENISON ISD,Spring 2022,3,19,81,50,26,91903,STAAR - Reading
DENTON ISD,Spring 2022,3,23,77,52,32,61901,STAAR - Reading
DENVER CITY ISD,Spring 2022,3,26,74,40,23,251901,STAAR - Reading
DESOTO ISD,Spring 2022,3,38,62,31,16,57906,STAAR - Reading
DETROIT ISD,Spring 2022,3,12,88,45,24,194905,STAAR - Reading
DEVERS ISD,Spring 2022,3,0,100,90,71,146903,STAAR - Reading
DEVINE ISD,Spring 2022,3,17,83,52,30,163901,STAAR - Reading
DEW ISD,Spring 2022,3,0,100,64,55,81906,STAAR - Reading
DEWEYVILLE ISD,Spring 2022,3,28,72,44,28,176903,STAAR - Reading
DIBOLL ISD,Spring 2022,3,15,85,54,25,3905,STAAR - Reading
DICKINSON ISD,Spring 2022,3,23,77,50,28,84901,STAAR - Reading
DILLEY ISD,Spring 2022,3,43,57,31,16,82902,STAAR - Reading
DIME BOX ISD,Spring 2022,3,33,67,20,13,144903,STAAR - Reading
DIMMITT ISD,Spring 2022,3,45,55,25,14,35901,STAAR - Reading
DIVIDE ISD,Spring 2022,3,0,100,60,0,133905,STAAR - Reading
DODD CITY ISD,Spring 2022,3,12,88,58,29,74904,STAAR - Reading
DONNA ISD,Spring 2022,3,37,63,34,15,108902,STAAR - Reading
DOSS CONSOLIDATED CSD,Spring 2022,3,0,100,40,20,86024,STAAR - Reading
DOUGLASS ISD,Spring 2022,3,10,90,76,38,174911,STAAR - Reading
DR M L GARZA-GONZALEZ CHARTER SCHOOL (178801),Spring 2022,3,26,74,26,21,178801,STAAR - Reading
DRAW ACADEMY (101856),Spring 2022,3,43,57,20,11,101856,STAAR - Reading
DRIPPING SPRINGS ISD,Spring 2022,3,7,93,71,51,105904,STAAR - Reading
DRISCOLL ISD,Spring 2022,3,8,92,53,24,178905,STAAR - Reading
DUBLIN ISD,Spring 2022,3,5,95,77,49,72902,STAAR - Reading
DUMAS ISD,Spring 2022,3,24,76,52,23,171901,STAAR - Reading
DUNCANVILLE ISD (057907),Spring 2022,3,42,58,34,17,57907,STAAR - Reading
EAGLE MT-SAGINAW ISD,Spring 2022,3,26,74,49,26,220918,STAAR - Reading
EAGLE PASS ISD,Spring 2022,3,26,74,43,22,159901,STAAR - Reading
EANES ISD,Spring 2022,3,4,96,82,56,227909,STAAR - Reading
EARLY ISD,Spring 2022,3,14,86,55,31,25909,STAAR - Reading
EAST BERNARD ISD,Spring 2022,3,14,86,64,34,241902,STAAR - Reading
EAST CENTRAL ISD,Spring 2022,3,39,61,30,16,15911,STAAR - Reading
EAST CHAMBERS ISD,Spring 2022,3,16,84,56,28,36903,STAAR - Reading
EAST FORT WORTH MONTESSORI ACADEMY (220811),Spring 2022,3,21,79,54,32,220811,STAAR - Reading
EASTLAND ISD,Spring 2022,3,18,82,48,24,67903,STAAR - Reading
ECTOR COUNTY ISD,Spring 2022,3,32,68,40,21,68901,STAAR - Reading
ECTOR ISD,Spring 2022,3,57,43,29,7,74905,STAAR - Reading
EDCOUCH-ELSA ISD,Spring 2022,3,35,65,37,17,108903,STAAR - Reading
EDEN CISD (048901),Spring 2022,3,38,62,50,50,48901,STAAR - Reading
EDGEWOOD ISD (015905),Spring 2022,3,47,53,28,13,15905,STAAR - Reading
EDGEWOOD ISD (234903),Spring 2022,3,29,71,34,13,234903,STAAR - Reading
EDINBURG CISD,Spring 2022,3,21,79,52,30,108904,STAAR - Reading
EDNA ISD,Spring 2022,3,15,85,49,28,120901,STAAR - Reading
EDUCATION CENTER INTERNATIONAL ACADEMY,Spring 2022,3,23,77,34,19,57833,STAAR - Reading
EHRHART SCHOOL (123805),Spring 2022,3,9,91,54,26,123805,STAAR - Reading
EL CAMPO ISD,Spring 2022,3,28,72,45,26,241903,STAAR - Reading
EL PASO ISD,Spring 2022,3,20,80,55,32,71902,STAAR - Reading
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY (015836),Spring 2022,3,5,95,82,67,15836,STAAR - Reading
ELECTRA ISD,Spring 2022,3,69,31,23,11,243902,STAAR - Reading
ELGIN ISD,Spring 2022,3,31,69,39,17,11902,STAAR - Reading
ELKHART ISD,Spring 2022,3,12,88,56,31,1903,STAAR - Reading
ELYSIAN FIELDS ISD,Spring 2022,3,3,97,53,26,102906,STAAR - Reading
ENNIS ISD,Spring 2022,3,21,79,47,28,70903,STAAR - Reading
ERA ISD,Spring 2022,3,18,82,59,33,49906,STAAR - Reading
ETOILE ISD,Spring 2022,3,40,60,60,10,174910,STAAR - Reading
EULA ISD,Spring 2022,3,5,95,57,23,30906,STAAR - Reading
EUSTACE ISD,Spring 2022,3,18,82,57,28,107905,STAAR - Reading
EVADALE ISD,Spring 2022,3,29,71,29,10,121906,STAAR - Reading
EVANT ISD,Spring 2022,3,27,73,33,13,50901,STAAR - Reading
EVERMAN ISD,Spring 2022,3,29,71,42,27,220904,STAAR - Reading
EXCELLENCE IN LEADERSHIP ACADEMY (108809),Spring 2022,3,33,67,48,22,108809,STAAR - Reading
EXCELSIOR ISD,Spring 2022,3,60,40,20,20,210906,STAAR - Reading
EZZELL ISD,Spring 2022,3,0,100,88,38,143906,STAAR - Reading
FABENS ISD,Spring 2022,3,39,61,28,12,71903,STAAR - Reading
FAIRFIELD ISD,Spring 2022,3,28,72,46,31,81902,STAAR - Reading
FALLS CITY ISD,Spring 2022,3,0,100,73,50,128904,STAAR - Reading
FANNINDEL ISD,Spring 2022,3,36,64,18,9,60914,STAAR - Reading
FARMERSVILLE ISD,Spring 2022,3,18,82,61,39,43904,STAAR - Reading
FARWELL ISD,Spring 2022,3,8,92,79,28,185902,STAAR - Reading
FAYETTEVILLE ISD,Spring 2022,3,22,78,50,33,75906,STAAR - Reading
FERRIS ISD,Spring 2022,3,21,79,51,30,70905,STAAR - Reading
FLATONIA ISD,Spring 2022,3,7,93,74,44,75901,STAAR - Reading
FLORENCE ISD,Spring 2022,3,42,58,36,21,246902,STAAR - Reading
FLORESVILLE ISD,Spring 2022,3,24,76,49,28,247901,STAAR - Reading
FLOUR BLUFF ISD,Spring 2022,3,13,87,59,33,178914,STAAR - Reading
FLOYDADA COLLEGIATE ISD,Spring 2022,3,25,75,44,27,77901,STAAR - Reading
FOLLETT ISD,Spring 2022,3,18,82,45,9,148902,STAAR - Reading
FORESTBURG ISD,Spring 2022,3,20,80,40,20,169910,STAAR - Reading
FORNEY ISD,Spring 2022,3,23,77,51,31,129902,STAAR - Reading
FORSAN ISD,Spring 2022,3,18,82,58,40,114904,STAAR - Reading
FORT BEND ISD,Spring 2022,3,18,82,60,39,79907,STAAR - Reading
FORT ELLIOTT CISD,Spring 2022,3,23,77,46,23,242906,STAAR - Reading
FORT STOCKTON ISD,Spring 2022,3,23,77,42,20,186902,STAAR - Reading
FORT WORTH ACADEMY OF FINE ARTS (220809),Spring 2022,3,0,100,92,66,220809,STAAR - Reading
FORT WORTH ISD,Spring 2022,3,34,66,38,20,220905,STAAR - Reading
FRANKLIN ISD,Spring 2022,3,4,96,74,52,198903,STAAR - Reading
FRANKSTON ISD,Spring 2022,3,11,89,51,18,1904,STAAR - Reading
FREDERICKSBURG ISD,Spring 2022,3,21,79,58,37,86901,STAAR - Reading
FREER ISD,Spring 2022,3,18,82,44,18,66903,STAAR - Reading
FRENSHIP ISD,Spring 2022,3,14,86,63,39,152907,STAAR - Reading
FRIENDSWOOD ISD,Spring 2022,3,8,92,74,53,84911,STAAR - Reading
FRIONA ISD,Spring 2022,3,43,57,27,12,185903,STAAR - Reading
FRISCO ISD,Spring 2022,3,9,91,72,49,43905,STAAR - Reading
FROST ISD,Spring 2022,3,23,77,41,27,175905,STAAR - Reading
FRUITVALE ISD,Spring 2022,3,8,92,60,24,234909,STAAR - Reading
FT DAVIS ISD,Spring 2022,3,20,80,40,40,122901,STAAR - Reading
FT HANCOCK ISD,Spring 2022,3,29,71,25,17,115901,STAAR - Reading
FT SAM HOUSTON ISD,Spring 2022,3,18,82,59,42,15914,STAAR - Reading
HUNT ISD,Spring 2022,3,5,95,52,33,133902,STAAR - Reading
HUNTINGTON ISD,Spring 2022,3,18,82,51,25,3904,STAAR - Reading
HUNTSVILLE ISD,Spring 2022,3,36,64,39,21,236902,STAAR - Reading
HURST-EULESS-BEDFORD ISD,Spring 2022,3,14,86,64,41,220916,STAAR - Reading
HUTTO ISD,Spring 2022,3,20,80,50,32,246906,STAAR - Reading
IDALOU ISD,Spring 2022,3,7,93,80,66,152910,STAAR - Reading
IDEA PUBLIC SCHOOLS,Spring 2022,3,24,76,50,28,108807,STAAR - Reading
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS (043801),Spring 2022,3,7,93,73,51,43801,STAAR - Reading
INDUSTRIAL ISD,Spring 2022,3,0,100,76,46,120905,STAAR - Reading
INGLESIDE ISD,Spring 2022,3,20,80,56,32,205903,STAAR - Reading
INGRAM ISD,Spring 2022,3,24,76,47,20,133904,STAAR - Reading
INSPIRE ACADEMIES,Spring 2022,3,16,84,52,39,15808,STAAR - Reading
INSPIRED VISION ACADEMY,Spring 2022,3,40,60,29,22,57830,STAAR - Reading
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),Spring 2022,3,34,66,39,21,57848,STAAR - Reading
IOLA ISD,Spring 2022,3,7,93,71,44,93903,STAAR - Reading
IOWA PARK CISD,Spring 2022,3,16,84,50,25,243903,STAAR - Reading
IRA ISD,Spring 2022,3,0,100,67,43,208903,STAAR - Reading
IRAAN-SHEFFIELD COLLEGIATE ISD,Spring 2022,3,39,61,26,17,186903,STAAR - Reading
IREDELL ISD,Spring 2022,3,0,100,83,50,18906,STAAR - Reading
IRION COUNTY ISD,Spring 2022,3,0,100,65,50,118902,STAAR - Reading
HIGHLAND PARK ISD (188903),Spring 2022,3,14,86,54,30,188903,STAAR - Reading
HILLSBORO ISD,Spring 2022,3,20,80,46,25,109904,STAAR - Reading
HITCHCOCK ISD,Spring 2022,3,36,64,28,20,84908,STAAR - Reading
HOLLAND ISD,Spring 2022,3,7,93,67,38,14905,STAAR - Reading
HOLLIDAY ISD,Spring 2022,3,21,79,48,31,5902,STAAR - Reading
HONDO ISD,Spring 2022,3,33,67,37,19,163904,STAAR - Reading
HONEY GROVE ISD,Spring 2022,3,3,97,72,47,74907,STAAR - Reading
HOOKS ISD,Spring 2022,3,11,89,78,51,19902,STAAR - Reading
HORIZON MONTESSORI PUBLIC SCHOOLS,Spring 2022,3,29,71,46,29,108802,STAAR - Reading
HOUSTON GATEWAY ACADEMY INC,Spring 2022,3,10,90,68,38,101828,STAAR - Reading
HOUSTON ISD (101912),Spring 2022,3,27,73,49,30,101912,STAAR - Reading
HOWE ISD,Spring 2022,3,26,74,45,27,91905,STAAR - Reading
HUBBARD ISD (019913),Spring 2022,3,29,71,43,0,19913,STAAR - Reading
HUBBARD ISD (109905),Spring 2022,3,25,75,50,25,109905,STAAR - Reading
HUCKABAY ISD,Spring 2022,3,7,93,72,31,72908,STAAR - Reading
HUDSON ISD,Spring 2022,3,19,81,53,29,3902,STAAR - Reading
HUFFMAN ISD,Spring 2022,3,24,76,49,24,101925,STAAR - Reading
HUGHES SPRINGS ISD,Spring 2022,3,17,83,52,24,34903,STAAR - Reading
HULL-DAISETTA ISD,Spring 2022,3,44,56,25,14,146905,STAAR - Reading
HUMBLE ISD,Spring 2022,3,21,79,53,30,101913,STAAR - Reading
HARTS BLUFF ISD,Spring 2022,3,29,71,38,16,225907,STAAR - Reading
HASKELL CISD,Spring 2022,3,15,85,53,30,104901,STAAR - Reading
HAWKINS ISD,Spring 2022,3,22,78,39,24,250902,STAAR - Reading
HAWLEY ISD,Spring 2022,3,23,77,52,27,127904,STAAR - Reading
HAYS CISD,Spring 2022,3,18,82,56,34,105906,STAAR - Reading
HEARNE ISD,Spring 2022,3,44,56,33,14,198905,STAAR - Reading
HEDLEY ISD,Spring 2022,3,0,100,88,75,65902,STAAR - Reading
HEMPHILL ISD,Spring 2022,3,20,80,45,21,202903,STAAR - Reading
HEMPSTEAD ISD,Spring 2022,3,37,63,37,17,237902,STAAR - Reading
HENDERSON ISD,Spring 2022,3,37,63,30,17,201902,STAAR - Reading
HENRIETTA ISD,Spring 2022,3,18,82,39,18,39902,STAAR - Reading
HEREFORD ISD,Spring 2022,3,24,76,41,21,59901,STAAR - Reading
HERITAGE ACADEMY (015815),Spring 2022,3,44,56,39,28,15815,STAAR - Reading
HERMLEIGH ISD,Spring 2022,3,36,64,45,27,208901,STAAR - Reading
HICO ISD,Spring 2022,3,9,91,63,23,97903,STAAR - Reading
HIDALGO ISD,Spring 2022,3,14,86,65,39,108905,STAAR - Reading
HIGH ISLAND ISD,Spring 2022,3,0,100,50,0,84903,STAAR - Reading
HIGH POINT ACADEMY (220819),Spring 2022,3,20,80,57,33,220819,STAAR - Reading
HIGHLAND ISD,Spring 2022,3,0,100,78,22,177905,STAAR - Reading
HIGHLAND PARK ISD (057911),Spring 2022,3,3,97,88,67,57911,STAAR - Reading
HAMLIN COLLEGIATE ISD,Spring 2022,3,32,68,47,24,127903,STAAR - Reading
HAMSHIRE-FANNETT ISD,Spring 2022,3,10,90,60,35,123914,STAAR - Reading
HAPPY ISD,Spring 2022,3,17,83,61,44,219901,STAAR - Reading
HARDIN ISD,Spring 2022,3,19,81,58,31,146904,STAAR - Reading
HARDIN-JEFFERSON ISD,Spring 2022,3,24,76,49,29,100905,STAAR - Reading
HARLANDALE ISD,Spring 2022,3,35,65,35,17,15904,STAAR - Reading
HARLETON ISD,Spring 2022,3,11,89,62,38,102905,STAAR - Reading
HARLINGEN CISD,Spring 2022,3,24,76,46,24,31903,STAAR - Reading
HARMONY ISD,Spring 2022,3,10,90,69,27,230905,STAAR - Reading
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,Spring 2022,3,23,77,53,38,227816,STAAR - Reading
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,Spring 2022,3,25,75,50,28,101858,STAAR - Reading
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,Spring 2022,3,23,77,49,22,101846,STAAR - Reading
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,Spring 2022,3,18,82,58,39,101862,STAAR - Reading
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,Spring 2022,3,28,72,45,26,161807,STAAR - Reading
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,Spring 2022,3,39,61,29,15,15828,STAAR - Reading
HARMONY PUBLIC SCHOOLS - WEST TEXAS,Spring 2022,3,23,77,51,31,71806,STAAR - Reading
HARPER ISD,Spring 2022,3,13,87,39,24,86902,STAAR - Reading
HARROLD ISD,Spring 2022,3,12,88,62,50,244901,STAAR - Reading
HART ISD (035902),Spring 2022,3,20,80,60,40,35902,STAAR - Reading
HARTLEY ISD,Spring 2022,3,10,90,57,38,103902,STAAR - Reading
GRANGER ISD,Spring 2022,3,43,57,21,7,246905,STAAR - Reading
GRAPE CREEK ISD,Spring 2022,3,30,70,49,30,226907,STAAR - Reading
GRAPELAND ISD,Spring 2022,3,20,80,53,23,113902,STAAR - Reading
GRAPEVINE-COLLEYVILLE ISD,Spring 2022,3,13,87,67,48,220906,STAAR - Reading
GREAT HEARTS TEXAS,Spring 2022,3,13,87,63,38,15835,STAAR - Reading
GREENVILLE ISD,Spring 2022,3,34,66,38,21,116905,STAAR - Reading
GREENWOOD ISD,Spring 2022,3,16,84,52,32,165902,STAAR - Reading
GREGORY-PORTLAND ISD,Spring 2022,3,18,82,52,31,205902,STAAR - Reading
GROESBECK ISD,Spring 2022,3,19,81,49,25,147902,STAAR - Reading
GROOM ISD,Spring 2022,3,0,100,90,60,33901,STAAR - Reading
GROVETON ISD,Spring 2022,3,27,73,46,21,228901,STAAR - Reading
GRUVER ISD,Spring 2022,3,5,95,80,40,98901,STAAR - Reading
GUNTER ISD,Spring 2022,3,10,90,59,34,91917,STAAR - Reading
GUSTINE ISD,Spring 2022,3,11,89,56,33,47903,STAAR - Reading
GUTHRIE CSD,Spring 2022,3,0,100,100,43,135001,STAAR - Reading
HALE CENTER ISD,Spring 2022,3,10,90,39,27,95903,STAAR - Reading
HALLETTSVILLE ISD,Spring 2022,3,17,83,53,31,143901,STAAR - Reading
HALLSBURG ISD,Spring 2022,3,5,95,53,16,161924,STAAR - Reading
HALLSVILLE ISD,Spring 2022,3,22,78,49,29,102904,STAAR - Reading
HAMILTON ISD,Spring 2022,3,17,83,56,24,97902,STAAR - Reading
GODLEY ISD,Spring 2022,3,20,80,52,27,126911,STAAR - Reading
GOLD BURG ISD,Spring 2022,3,14,86,71,29,169906,STAAR - Reading
GOLDEN RULE CHARTER SCHOOL (057835),Spring 2022,3,15,85,56,35,57835,STAAR - Reading
GOLDTHWAITE ISD,Spring 2022,3,5,95,71,50,167901,STAAR - Reading
GOLIAD ISD,Spring 2022,3,20,80,49,22,88902,STAAR - Reading
GONZALES ISD,Spring 2022,3,30,70,39,17,89901,STAAR - Reading
GOODRICH ISD,Spring 2022,3,38,62,33,19,187903,STAAR - Reading
GOODWATER MONTESSORI SCHOOL (246802),Spring 2022,3,42,58,50,31,246802,STAAR - Reading
GOOSE CREEK CISD,Spring 2022,3,26,74,48,26,101911,STAAR - Reading
GORDON ISD,Spring 2022,3,8,92,62,38,182901,STAAR - Reading
GORMAN ISD,Spring 2022,3,5,95,82,45,67904,STAAR - Reading
GRADY ISD,Spring 2022,3,0,100,91,64,156905,STAAR - Reading
GRAFORD ISD,Spring 2022,3,44,56,28,22,182902,STAAR - Reading
GRAHAM ISD,Spring 2022,3,22,78,50,33,252901,STAAR - Reading
GRANBURY ISD,Spring 2022,3,16,84,62,42,111901,STAAR - Reading
GRAND PRAIRIE ISD,Spring 2022,3,22,78,53,31,57910,STAAR - Reading
GRAND SALINE ISD,Spring 2022,3,26,74,43,22,234904,STAAR - Reading
GRANDFALLS-ROYALTY ISD,Spring 2022,3,38,62,23,23,238904,STAAR - Reading
GRANDVIEW ISD,Spring 2022,3,12,88,68,36,126904,STAAR - Reading
GRANDVIEW-HOPKINS ISD,Spring 2022,3,0,0,0,0,90905,STAAR - Reading
GAINESVILLE ISD,Spring 2022,3,42,58,37,17,49901,STAAR - Reading
GALENA PARK ISD (101910),Spring 2022,3,23,77,46,24,101910,STAAR - Reading
GALVESTON ISD,Spring 2022,3,22,78,49,29,84902,STAAR - Reading
GANADO ISD,Spring 2022,3,18,82,70,46,120902,STAAR - Reading
GARLAND ISD,Spring 2022,3,22,78,52,30,57909,STAAR - Reading
GARNER ISD (184911),Spring 2022,3,36,64,41,32,184911,STAAR - Reading
GARRISON ISD,Spring 2022,3,11,89,70,46,174903,STAAR - Reading
GARY ISD,Spring 2022,3,18,82,55,34,183904,STAAR - Reading
GATESVILLE ISD,Spring 2022,3,12,88,57,36,50902,STAAR - Reading
GATEWAY CHARTER ACADEMY (057831),Spring 2022,3,49,51,26,6,57831,STAAR - Reading
GAUSE ISD,Spring 2022,3,7,93,86,21,166902,STAAR - Reading
GEORGE GERVIN ACADEMY (015802),Spring 2022,3,58,42,23,10,15802,STAAR - Reading
GEORGE WEST ISD,Spring 2022,3,10,90,75,52,149901,STAAR - Reading
GEORGETOWN ISD,Spring 2022,3,25,75,49,30,246904,STAAR - Reading
GHOLSON ISD,Spring 2022,3,44,56,22,0,161925,STAAR - Reading
GIDDINGS ISD,Spring 2022,3,18,82,47,26,144901,STAAR - Reading
GILMER ISD,Spring 2022,3,26,74,48,24,230902,STAAR - Reading
GLADEWATER ISD,Spring 2022,3,40,60,31,15,92901,STAAR - Reading
GLASSCOCK COUNTY ISD,Spring 2022,3,7,93,86,71,87901,STAAR - Reading
GLEN ROSE ISD,Spring 2022,3,14,86,64,43,213901,STAAR - Reading
MOTLEY COUNTY ISD,Spring 2022,3,10,90,80,60,173901,STAAR - Reading
MOULTON ISD,Spring 2022,3,32,68,47,26,143902,STAAR - Reading
MOUNT CALM ISD (109910),Spring 2022,3,40,60,13,7,109910,STAAR - Reading
MOUNT ENTERPRISE ISD,Spring 2022,3,14,86,56,33,201907,STAAR - Reading
MOUNT PLEASANT ISD,Spring 2022,3,16,84,62,32,225902,STAAR - Reading
MOUNT VERNON ISD,Spring 2022,3,18,82,51,33,80901,STAAR - Reading
MUENSTER ISD,Spring 2022,3,9,91,77,66,49902,STAAR - Reading
MULESHOE ISD,Spring 2022,3,37,63,29,16,9901,STAAR - Reading
